benchmark name,is benchmark C code
cbench-consumer-mad,True
milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1,True
polybench-cuda-bicg,False
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1,True
polybench-opencl-syrk,True
shared-bzip2-1.0.5,True
milepost-codelet-mibench-telecomm-fft-fourierf-codelet-3-1,True
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-4-1,True
polybench-cpu-gramschmidt,True
polybench-cpu-medley-reg-detect,True
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-2-1,True
cbench-telecom-adpcm-c,True
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-6-1,True
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-5-1,True
cbench-network-dijkstra,True
polybench-cpu-trisolv,True
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-3-1,True
milepost-codelet-mibench-consumer-lame-src-newmdct-codelet-10-1,True
milepost-codelet-mibench-consumer-tiffdither-src-tiffdither-codelet-1-1,True
milepost-codelet-mibench-network-dijkstra-src-dijkstra-large-codelet-5-1,True
polybench-opencl-fdtd-2d,True
milepost-codelet-mibench-office-ghostscript-src-gdevpbm-codelet-1-1,True
polybench-cuda-syrk,False
milepost-codelet-mibench-consumer-lame-src-psymodel-codelet-17-1,True
milepost-codelet-mibench-office-rsynth-src-nsynth-codelet-9-1,True
polybench-cuda-covar,False
milepost-codelet-mibench-consumer-jpeg-c-src-jcdctmgr-codelet-13-1,True
polybench-cuda-2mm,False
milepost-codelet-mibench-consumer-lame-src-takehiro-codelet-5-1,True
polybench-cpu-symm,True
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-6-1,True
polybench-cuda-gemm,False
milepost-codelet-mibench-automotive-bitcount-src-bitcnt-1-codelet-2-1,True
polybench-opencl-atax,True
milepost-codelet-mibench-telecomm-gsm-src-rpe-codelet-4-1,True
cbench-telecom-adpcm-d,True
shared-matmul-python,False
polybench-opencl-corr,True
shared-matmul-c2,True
shared-bzip2-1.0.6,True
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-5-1,True
polybench-cuda-atax,False
milepost-codelet-mibench-automotive-susan-s-src-susan-codelet-1-1,True
cbench-telecom-gsm,True
polybench-cpu-bicg,True
milepost-codelet-mibench-consumer-tiff2rgba-src-tif-predict-codelet-4-1,True
polybench-cpu-fdtd-apml,True
polybench-opencl-2dconv,True
polybench-cpu-gemver,True
milepost-codelet-mibench-security-pgp-d-src-mpilib-codelet-1-1,True
cbench-consumer-lame,True
polybench-cpu-adi,True
shared-matmul-cpp,False
cbench-consumer-tiff2median,True
cbench-security-sha,True
polybench-cpu-jacobi-1d-imper,True
polybench-cpu-fdtd-2d,True
polybench-opencl-syr2k,True
polybench-opencl-gemm,True
milepost-codelet-mibench-consumer-lame-src-fft-codelet-2-1,True
polybench-cpu-durbin,True
polybench-opencl-gesummv,True
cbench-security-rijndael,True
polybench-cuda-gesummv,False
polybench-cpu-mvt,True
milepost-codelet-mibench-consumer-lame-src-newmdct-codelet-3-1,True
polybench-cuda-3mm,False
polybench-cpu-gemm,True
milepost-codelet-mibench-office-rsynth-src-nsynth-codelet-5-1,True
cbench-automotive-qsort1,True
polybench-opencl-2mm,True
polybench-cpu-2mm,True
polybench-opencl-gramschm,True
shared-matmul-fortran,False
milepost-codelet-mibench-automotive-qsort1-src-qsort-codelet-1-1,True
cbench-consumer-tiff2bw,True
polybench-cpu-doitgen,True
milepost-codelet-mibench-telecomm-gsm-src-short-term-codelet-2-1,True
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-10-1,True
bench-julia-sin,False
milepost-codelet-mibench-consumer-lame-src-takehiro-codelet-16-1,True
cbench-consumer-jpeg-d,True
milepost-codelet-mibench-security-pgp-e-src-mpilib-codelet-1-1,True
shared-matmul-java,False
milepost-codelet-mibench-automotive-basicmath-cubic-codelet-3-1,True
milepost-codelet-mibench-telecomm-fft-fftmisc-codelet-5-1,True
cbench-network-patricia,True
milepost-codelet-mibench-consumer-lame-src-quantize-codelet-7-1,True
polybench-opencl-covar,True
cbench-telecom-crc32,True
cbench-automotive-susan,True
polybench-cpu-gesummv,True
polybench-cpu-ludcmp,True
polybench-cuda-gramschm,False
polybench-cuda-corr,False
shared-matmul-c,True
milepost-codelet-mibench-consumer-jpeg-c-src-jchuff-codelet-9-1,True
polybench-cpu-syr2k,True
milepost-codelet-mibench-telecomm-adpcm-c-src-adpcm-codelet-1-1,True
polybench-opencl-bicg,True
polybench-cpu-atax,True
milepost-codelet-mibench-consumer-tiffdither-src-tif-fax3-codelet-8-1,True
milepost-codelet-mibench-consumer-jpeg-c-src-jfdctint-codelet-2-1,True
milepost-codelet-mibench-telecomm-adpcm-d-src-adpcm-codelet-1-1,True
milepost-codelet-mibench-security-pgp-e-src-mpilib-codelet-4-1,True
polybench-opencl-mvt,True
cbench-consumer-jpeg-c,True
milepost-codelet-mibench-consumer-lame-src-quantize-pvt-codelet-6-1,True
polybench-cpu-trmm,True
cbench-security-blowfish,True
polybench-cpu-dynprog,True
polybench-cuda-mvt,False
milepost-codelet-mibench-security-pgp-e-src-mpilib-codelet-3-1,True
polybench-cuda-syr2k,False
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-1-1,True
polybench-cpu-medley-floyd-warshall,True
polybench-cpu-3mm,True
polybench-cuda-3dconv,False
cbench-consumer-tiff2rgba,True
cbench-automotive-bitcount,True
cbench-security-pgp,True
milepost-codelet-mibench-consumer-tiffdither-src-tif-fax3-codelet-9-1,True
polybench-cpu-cholesky,True
cbench-office-stringsearch2,True
polybench-cpu-seidel-2d,True
polybench-cpu-lu,True
polybench-cpu-jacobi-2d-imper,True
polybench-cuda-fdtd-2d,False
polybench-opencl-3mm,True
mbedtls,False
polybench-cuda-2dconv,False
polybench-cpu-syrk,True
polybench-opencl-3dconv,True
cbench-bzip2,True
cbench-consumer-tiff2dither,True
template-hello-world-c-jpeg-dataset,True
template-hello-world-java,False
tool-print-opencl-devices,True
custom-autotuning-wrapper,False
tool-print-cuda-devices,False
template-hello-world-c-output-validation,True
template-hello-world-python,False
demo-codelet-openme-auto-tuning-plugins,True
template-hello-world-c-compile-run-via-scripts,False
template-hello-world-cxx,False
template-hello-world-c-openme,True
template-hello-world-fortran,False
template-hello-world-c,True
