benchmark name, did compile succeed
milepost-codelet-mibench-consumer-jpeg-c-src-jfdctint-codelet-2-1, True
milepost-codelet-mibench-office-rsynth-src-nsynth-codelet-9-1, True
milepost-codelet-mibench-telecomm-gsm-src-short-term-codelet-2-1, True
polybench-opencl-covar, True
cbench-network-patricia, True
shared-bzip2-1.0.6, True
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-10-1, True
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-5-1, True
milepost-codelet-mibench-automotive-susan-s-src-susan-codelet-1-1, True
polybench-cpu-trmm, True
polybench-cpu-ludcmp, True
polybench-opencl-gemm, True
cbench-consumer-tiff2bw, True
polybench-opencl-3dconv, True
milepost-codelet-mibench-security-pgp-e-src-mpilib-codelet-4-1, True
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-2-1, True
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-3-1, True
polybench-cpu-syr2k, True
polybench-cpu-syrk, True
polybench-opencl-mvt, True
shared-matmul-c2, True
cbench-security-sha, True
shared-bzip2-1.0.5, True
shared-matmul-c, True
cbench-office-stringsearch2, True
milepost-codelet-mibench-telecomm-adpcm-d-src-adpcm-codelet-1-1, True
cbench-security-blowfish, True
milepost-codelet-mibench-network-dijkstra-src-dijkstra-large-codelet-5-1, True
polybench-cpu-atax, True
cbench-bzip2, True
tool-print-opencl-devices, True
milepost-codelet-mibench-office-rsynth-src-nsynth-codelet-5-1, True
cbench-automotive-bitcount, True
milepost-codelet-mibench-telecomm-gsm-src-rpe-codelet-4-1, True
polybench-cpu-fdtd-2d, True
polybench-opencl-2dconv, True
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-6-1, True
cbench-automotive-susan, True
polybench-cpu-fdtd-apml, True
polybench-cpu-2mm, True
cbench-telecom-gsm, True
polybench-cpu-durbin, True
milepost-codelet-mibench-security-pgp-d-src-mpilib-codelet-1-1, True
polybench-opencl-syrk, True
cbench-consumer-tiff2dither, True
polybench-opencl-syr2k, True
milepost-codelet-mibench-consumer-jpeg-c-src-jchuff-codelet-9-1, True
polybench-cpu-doitgen, True
cbench-consumer-mad, False
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-6-1, True
polybench-cpu-bicg, True
template-hello-world-c-jpeg-dataset, True
