file_name,function_name,mean_cycles,std_cycles,num_samples
milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1,astex_codelet__1,5315.588412,871.3565784646404,1000000
milepost-codelet-mibench-automotive-bitcount-src-bitcnts-codelet-1-1,main,5331122829,None,1
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1,astex_codelet__1,5605.633114,886.6073503480877,1000000
milepost-codelet-mibench-automotive-basicmath-isqrt-codelet-1-1,main,5334646725,None,1
shared-bzip2-1.0.5,copyFileName,17663.6,8452.616565300948,5
shared-bzip2-1.0.5,addFlagsFromEnvVar,15551,3107.0271965336897,2
shared-bzip2-1.0.5,myMalloc,37749.75,69352.36284727436,8
shared-bzip2-1.0.5,mkCell,27074.5,4104.676479334273,4
shared-bzip2-1.0.5,snocString,33549.42857142857,8344.335540895248,7
shared-bzip2-1.0.5,hasSuffix,13284,None,1
shared-bzip2-1.0.5,mapSuffix,30440,None,1
shared-bzip2-1.0.5,containsDubiousChars,14510,None,1
shared-bzip2-1.0.5,fileExists,58651,26577.315477677574,2
shared-bzip2-1.0.5,saveInputFileMetaInfo,48510,None,1
shared-bzip2-1.0.5,fopen_output_safely,102136,None,1
shared-bzip2-1.0.5,bz_config_ok,14042,None,1
shared-bzip2-1.0.5,default_bzalloc,38615,21180.676523661845,2
shared-bzip2-1.0.5,BZ2_bzDecompressInit,53662,None,1
shared-bzip2-1.0.5,BZ2_bzReadOpen,43808,None,1
shared-bzip2-1.0.5,myfeof,6470.009756097561,3038.1795886054074,410
shared-bzip2-1.0.5,makeMaps_d,14113.5,7592.20550959996,2
shared-bzip2-1.0.5,BZ2_decompress,2097330.06,1283026.2495787833,100
shared-bzip2-1.0.5,BZ2_bzDecompress,15103.65064102564,3406.6050534360525,312
shared-bzip2-1.0.5,BZ2_hbCreateDecodeTables,16468.5,11586.10605619742,12
shared-bzip2-1.0.5,unRLE_obuf_to_output_FAST,254204.90740740742,25658.265796692347,216
shared-bzip2-1.0.5,BZ2_bzRead,30112.023255813954,153186.7734324943,215
shared-bzip2-1.0.5,BZ2_bzReadGetUnused,5668,None,1
shared-bzip2-1.0.5,default_bzfree,267448.5,367909.7795717042,2
shared-bzip2-1.0.5,BZ2_bzDecompressEnd,24518,None,1
shared-bzip2-1.0.5,BZ2_bzReadClose,12122,None,1
shared-bzip2-1.0.5,applySavedFileAttrToOutputFile,32226,None,1
shared-bzip2-1.0.5,uncompressStream,4441527,None,1
shared-bzip2-1.0.5,applySavedTimeInfoToOutputFile,27812,None,1
shared-bzip2-1.0.5,uncompress,1279887,None,1
shared-bzip2-1.0.5,main,391169,None,1
milepost-codelet-mibench-telecomm-fft-fourierf-codelet-3-1,astex_codelet__3,10083922.638,632388.0942764258,1000
milepost-codelet-mibench-telecomm-fft-fourierf-codelet-3-1,main,13795486,None,1
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-4-1,astex_codelet__4,8613.003737,7191.9475624562765,1000000
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-4-1,main,5376289074,None,1
polybench-cpu-gramschmidt,init_array,58160,None,1
polybench-cpu-gramschmidt,kernel_gramschmidt,48875.452258966,3353.5415323159914,251199
polybench-cpu-gramschmidt,print_array,4258970,None,1
polybench-cpu-gramschmidt,main,1373284092,None,1
polybench-cpu-medley-reg-detect,init_array,32606,None,1
polybench-cpu-medley-reg-detect,kernel_reg_detect,17240.77769069405,1238.2086442280392,690268
polybench-cpu-medley-reg-detect,print_array,90709,None,1
polybench-cpu-medley-reg-detect,main,3753403269,None,1
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-2-1,astex_codelet__2,2594707.957450942,124482.03572540257,5147
milepost-codelet-mibench-automotive-susan-e-src-susan-codelet-2-1,main,50264708,None,1
cbench-telecom-adpcm-c,adpcm_coder,51430.4010721372,5643.260065154475,234858
cbench-telecom-adpcm-c,main,1253690378,None,1
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-6-1,astex_codelet__6,35498.952742185036,2245.3420080491337,332855
milepost-codelet-mibench-consumer-mad-src-layer3-codelet-6-1,main,1794256358,None,1
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-5-1,astex_codelet__5,5999.402566,929.9408007870762,1000000
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-5-1,main,5301369470,None,1
cbench-network-dijkstra,enqueue,5279.4467758620685,789.9809795493627,290000
cbench-network-dijkstra,qcount,5241.456929411765,915.9825064011969,340000
cbench-network-dijkstra,dequeue,5277.921048275862,863.4957052568842,290000
cbench-network-dijkstra,dijkstra,103049.79278,13425.480315899098,50000
cbench-network-dijkstra,print_path,19671.909090909092,10086.791387299982,11
cbench-network-dijkstra,main,265077963,None,1
polybench-cpu-trisolv,init_array,42832,None,1
polybench-cpu-trisolv,kernel_trisolv,6481.19228,908.120781922623,1000000
polybench-cpu-trisolv,print_array,104466,None,1
polybench-cpu-trisolv,main,5311491127,None,1
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-3-1,astex_codelet__3,8078.348825,990.2760027420037,1000000
milepost-codelet-mibench-consumer-tiffmedian-src-tiffmedian-codelet-3-1,main,5292357285,None,1
milepost-codelet-mibench-consumer-lame-src-newmdct-codelet-10-1,astex_codelet__10,5932.971473,928.3695790692873,1000000
milepost-codelet-mibench-consumer-lame-src-newmdct-codelet-10-1,main,5416272338,None,1
milepost-codelet-mibench-consumer-tiffdither-src-tiffdither-codelet-1-1,astex_codelet__1,12359.135985976844,1134.7991729636058,761027
milepost-codelet-mibench-consumer-tiffdither-src-tiffdither-codelet-1-1,main,4043042109,None,1
